FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
13 3
DATA
76.000000 244.000000 292.000000 90.000000
22.000000 243.000000 275.000000 53.000000
129.000000 247.000000 309.000000 124.000000
182.000000 248.000000 322.000000 156.000000
236.000000 249.000000 336.000000 186.000000
289.000000 251.000000 348.000000 215.000000
342.000000 255.000000 360.000000 242.000000
371.000000 267.000000 392.000000 257.000000
383.000000 293.000000 441.000000 258.000000
392.000000 314.000000 493.000000 260.000000
402.000000 336.000000 540.000000 261.000000
411.000000 358.000000 590.000000 262.000000
421.000000 376.000000 639.000000 265.000000
