FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
14 3
DATA
289.917476 252.606796 381.956311 291.053398
348.752427 215.907767 441.956311 257.266990
335.936893 186.781553 492.635922 259.597087
322.538835 157.072816 541.567961 261.344660
308.558252 123.286408 589.334951 262.509709
292.247573 89.500000 639.432039 263.674757
276.519417 52.218447 639.432039 241.538835
22.538835 242.121359 427.393204 392.412621
76.131068 243.868932 419.820388 374.354369
410.500000 355.713592 130.305825 246.781553
183.315534 248.529126 401.762136 334.742718
393.024272 313.771845 236.907767 250.859223
371.470874 267.169903 341.762136 254.936893
360.985437 242.121359 391.859223 255.519417
